uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH|Name,Mappings|NARROWER-THAN|PIH|Name,Mappings|BROADER-THAN|PIH|Name,Mappings|SAME-AS|PIH|Number,Mappings|NARROWER-THAN|PIH|Number,Mappings|BROADER-THAN|PIH|Number,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|BROADER-THAN|CIEL,Mappings|SAME-AS|AMPATH,Mappings|SAME-AS|org.openmrs.module.emrapi,Absolute high,Critical high,Normal high,Absolute low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
c36ddb6d-3f10-11e4-adec-0800271c1b75,,Systolic Data,Systolic,,Concept Details,N/A,,Systolic Abnormal;Systolic,,,,,,,,,,,,,,,,,,,,,
c378f635-3f10-11e4-adec-0800271c1b75,,Diastolic Data,Diastolic,,Concept Details,N/A,,Diastolic Abnormal;Diastolic,,,,,,,,,,,,,,,,,,,,,
c37afa71-3f10-11e4-adec-0800271c1b75,,Temperature Data,Temperature,,Concept Details,N/A,,Temperature Abnormal;Temperature,,,,,,,,,,,,,,,,,,,,,
c37d3f27-3f10-11e4-adec-0800271c1b75,,RR Data,RR,,Concept Details,N/A,,RR Abnormal;RR,,,,,,,,,,,,,,,,,,,,,
c37fc55f-3f10-11e4-adec-0800271c1b75,,SPO2 Data,SPO2,,Concept Details,N/A,,SPO2 Abnormal;SPO2,,,,,,,,,,,,,,,,,,,,,
c3949eb6-3f10-11e4-adec-0800271c1b75,,Chief Complaint Data,Chief Complaint,,Concept Details,N/A,,Chief Complaint Duration;Non-Coded Chief Complaint;Chief Complaint,,,,,,,,,,,,,,,,,,,,,
cd5c601b-0423-41b7-9725-89e869e6d088,,"Tuberculosis, Symptoms & Duration",Symptoms and Duration,,Concept Details,N/A,,"Tuberculosis, Symptoms;Tuberculosis, Symptoms Duration;Tuberculosis, Symptoms  duration",,,,,,,,,,,,,,,,,,,,,
886ca9b7-a953-4117-8e06-750d480d214f,,"Diabetes, Systolic Data",Systolic data,,Concept Details,N/A,,"Diabetes, Systolic;Diabetes, Systolic Abnormal",,,,,,,,,,,,,,,,,,,,,
85bebc90-ac4a-4823-99a2-5cee40acb5ec,,"Diabetes, Diastolic Data",Diastolic data,,Concept Details,N/A,,"Diabetes, Diastolic;Diabetes, Diastolic Abnormal",,,,,,,,,,,,,,,,,,,,,
f9f763c2-1a69-4adf-96bd-d3ec1dc0218b,,"Hypertension, Systolic data",Systolic data,,Concept Details,N/A,,"Hypertension, Systolic;Hypertension, Systolic Abnormal",,,,,,,,,,,,,,,,,,,,,
b163a10a-055f-44ba-a9e2-056a40fe6bbc,,"Hypertension, Diastolic Data",Diastolic data,,Concept Details,N/A,,"Hypertension, Diastolic;Hypertension, Diastolic Abnormal",,,,,,,,,,,,,,,,,,,,,
60cb4af9-af42-4947-9345-5172158af510,,Gestation period data,Gestation period,,Concept Details,N/A,,"Delivery Note, Gestation period;Gestation Period Abnormal",,,,,,,,,,,,,,,,,,,,,
97147a00-01f5-476b-b881-884f70a40a92,,"Stroke, Systolic data",Systolic data,,Concept Details,N/A,,"Stroke, Systolic;Stroke, Systolic Abnormal",,,,,,,,,,,,,,,,,,,,,
68207a7c-3b07-420c-a98b-5d1552980a19,,"Stroke, Diastolic Data",Diastolic data,,Concept Details,N/A,,"Stroke, Diastolic;Stroke, Diastolic Abnormal",,,,,,,,,,,,,,,,,,,,,
a2ff46d7-4490-4853-8316-85b6d7fc1852,,Heart Rate Data,Heart Rate,,Concept Details,N/A,,Heart Rate;Heart Rate Abnormal,,,,,,,,,,,,,,,,,,,,,
1ed7b7d0-b09d-4b24-8f27-22c816c5ac06,,Respiratory Rate Data,Respiratory Rate,,Concept Details,N/A,,Respiratory Rate;Respiratory Rate Abnormal,,,,,,,,,,,,,,,,,,,,,
d4aaacd9-de67-4187-be85-849e303a3363,,Oxygen Saturation Data,Oxygen Saturation,,Concept Details,N/A,,Oxygen Saturation;Oxygen Saturation Abnormal,,,,,,,,,,,,,,,,,,,,,
80ef57a5-0d0c-48de-acdd-19e026c890b5,,BMI Status Data,BMI STATUS,,Concept Details,N/A,,BMI STATUS;BMI STATUS ABNORMAL,,,,,,,,,,,,,,,,,,,,,
2c5bbbbf-f34d-4590-b624-9f17b75b7f00,,BMI Data,BMI,,Concept Details,N/A,,BMI;BMI ABNORMAL,,,,,,,,,,,,,,,,,,,,,
4529b8f6-fe4c-4f47-86c7-778907e216a4,,Haematology Department,,Haematology,Department,N/A,,"Absolute Eosinphil Count;Haemoglobin;Hb Electrophoresis;Agranulocyte Count;Eosinophil (Blood);Lymphocyte (Blood);Packed Cell Volume (PCV);Platelet Count;Basophil (Blood);Malaria Ags;Granulocyte Count;Total Leucocyte Count;Differential Count (Asitic Fluid);Total Leucocyte Count (Asitic Fluid);ESR;Neutrophil;Monocyte (Blood);Blood Group (Relative);Haemoglobin (Relative);Patient Blood Group;Differential Count (CSF);Total Leucocyte Count (CSF);Basophil;Eosinophil;Lymphocyte;Monocyte;Polymorph;Differential Count (Knee Joint Fluid);Total Leucocyte Count (Knee Joint Fluid);Malaria Parasites (Rapid kit);PS for mf by concentration;Differential Count (Plural Fluid);Total Leucocyte Count (Plural Fluid);Differential Count (Pus);Total Leucocyte Count (Pus);Differential Count (Peritoneal Fluid);Total Leucocyte Count (Peritoneal Fluid);Total Leucocyte Count (Blood);CD4 Test;HLA B27;Bend Cell;Pre Dinner Sugar;Nucleated RBC;Hypersegmented Polymorphs (HSP);non- adrenaline;bone marrow  test;Test1;Test2;PT;Coomb's test-minor;ESR (Blood);MCV;RBC count;Band Form;Blood Bank Screening Test;Platelets;D-dimer;Malaria Abs;Reticulocyte count;APTT;INR;PS for RBC Morphology;Blood Group;Bleeding Time;PBS for Malaria,Filaria Parasites;Cross Match-minor;Clotting Time;ANA;MCHC;MCH;Absolute Eosinophil Count;PCV (Blood);Cross Match-major;CD4;Haemoglobin (Blood);VDRL(TPHA) (Blood);HIV (Blood);HbA1c;HCV (Blood);Sickling Test;HBsAg (Blood);Coomb's test-major",,,,,,,,,,,,,,,,,,,,,
5376776e-bd25-4471-8e23-b56bb79f82a8,,Urine Department,,Urine,Department,N/A,,Urine Bile Pigment;Urine Bile Salt;Urine Ketone;Renal Concentrating Ability;Albumin (Routine Urine);Phosphates (Urine);Specific Gravity;Sugar (Routine Urin);LE (Urine);Nitrite;Cast;Crystal;Chyle;Others (Urine);Pus Cells (Urine);RBC (Urine);Vaginal Trichomonas;Yeast Cell;Pus (Urine);Bence Jones Protein;Urine VMA;Urine haemoglobin;Urine AFB;Colour (Urine);Epithelial Cells;Transparency (Urine);pH (Urine);RBCs (Urine);Yeast Cells (Urine);Casts;Bile Salt (Urine);Nitrates (Urine);Albumin (Urine);Urates (Urine);Urobilinogen (Urine);Ketone Bodies;Uric acid (Urine);Oxalates (Urine);Bile pigment;Urine Pregnancy Test,,,,,,,,,,,,,,,,,,,,,
20bb6922-c976-4829-b4e6-37b43cac4dee,,Biochemistry Department,,Biochemistry,Department,N/A,,APTT (Control) (Serum);Protein (Asitic Fluid);Sugar (Asitic Fluid);ANA;B HCG;Bicarbonate;Blood Urea;CA-125;CA19-9;CRP;Creatinine Kinase;FBS;Ferittin;FT3;FT4;LDH;LH;PP2BS;Prolactin;PSA;RBS;Urea Nitrogen;MP Serology;RA;Sugar (CSF);Calcium(mg/dl);ASO;Phosphorous;Neutrophil (Pleural Fluid);Lymphocyte (Pleural Fluid);Fasting Blood Sugar;Parallel Urine Sugar (Fasting Blood);Post Blood Sugar (30 mins);Parallel Urine Sugar (30 mins);Post Blood Sugar (60 mins);Parallel Urine Sugar (60 mins);Post Blood Sugar (90 mins);Parallel Urine Sugar (90 mins);Post Blood Sugar (120 mins);Parallel Urine Sugar (120 mins);HPLC;Coombs Test (Direct);Coombs Test (Indirect);G6PD;Protein (Knee Joint Fluid);Sugar (Knee Joint Fluid);Cholesterol;K-39;Dengue;S. Triglyceride;TC/HDL Ratio;VLDL Cholesterol;ALK. Phosphate;Lipase (Serum);Direct Bilirubin;S. Albumin;S. ALT;S. AST;S. Protein;Total Bilirubin;Protein (Plural Fluid);Sugar (Plural Fluid);Protein (Pus);Sugar (Pus);Protein (Peritoneal Fluid);Sugar (Peritoneal Fluid);T3;T4;TSH;Urine Protein Creatinine Ratio;Hb1AC;TORCH (IGG);TORCH (IGM);Calcium (mmole/l);Urine Creatinine;Urine Protein;APTT (Test) (Serum);INR Ratio (Serum);Prothrombin Time (Control) (Serum);Prothrombin Time (Test) (Serum);PTH;H. Pylori;Blood Sugar Random;Vitamin B-12;Adinosin diamarese (Asitic Fluid);Serum  Cortisol;Serum Electrophoresis;GGT;COMPLEMENT (C3);ANCA;Ceruloplasmin;Creatinine Clearance;VDRL(TPHA) (Serum);Blood Sugar P.P;Triglyceride;Gamma-GT;Blood Sugar Fasting;ADA (Pericardial Fluid);Protein (Pericardial Fluid);Lymphocyte (CSF);Glucose (Pericardial Fluid);Neutrophil (CSF);Glucose(R);Transparency (Pericardial Fluid);TLC (Pericardial Fluid);Colour (Pericardial Fluid);DLC (Pericardial Fluid);Chlamydia;Lymphocyte (Pericardial Fluid);Neutrophil (Pericardial Fluid);Albumin (Serum);ADA (CSF);Urea;SGPT/ALT;Glucose(P.P);SGOT/AST;Alkaline Phosphate;CK-MB;Bilirubin Total;CPK;LDH (Serum);A-G Ratio;Amylase;Troponin-I;HDL;BUN;Total Cholesterol;pH (Pleural Fluid);LDL;Eosinophil (Pericardial Fluid);24 hour Urine Protein;Creatinine;pH (CSF);Appearance (Pericardial Fluid);LDH (Pleural Fluid);Chloride;Glucose (CSF);Uric acid;Sugar;Potassium;Bilirubin Direct;HCV (Serum);Protein (CSF);Calcium;Colour (Pleural Fluid);Appearance (Pleural Fluid);Protein (Serum);Transparency (Pleural Fluid);ADA (Pleural Fluid);Sodium;Monocyte (Pleural Fluid);HIV (Serum);Protein (Pleural Fluid);HBsAg (Serum);Glucose (Pleural Fluid);Eosinophil (Pleural Fluid);Glucose(F);Monocyte (CSF);LDH (Pericardial Fluid);DLC (Pleural Fluid);Colour (CSF);Eosinophil (CSF);Transparency (CSF);Basophil (Pleural Fluid);Basophil (CSF);Magnesium;TLC (Pleural Fluid);TLC (CSF);pH (Pericardial Fluid);DLC (CSF);Appearance (CSF);Monocyte (Pericardial Fluid);Basophil (Pericardial Fluid),,,,,,,,,,,,,,,,,,,,,
919b18c9-1f25-4e3a-a8cb-fdc7fefad1c2,,Clinical Pathology Department,,Clinical Pathology,Department,N/A,,APTT (Test) (Blood);Gram Stain (Asitic Fluid);ZN Stain (Asitic Fluid);INR Ratio (Blood);Prothrombin Time (Control) (Blood);Prothrombin Time (Test) (Blood);Total Sperm Count;Pendy Reagent Test;ZN Stain (CSF);Morphology;Gram Stain (Knee Joint Fluid);ZN Stain (Knee Joint Fluid);Gram Stain (Plural Fluid);ZN Stain (Plural Fluid);Gram Stain (Body Fluid) (Pus);ZN Stain (Body Fluid) (Pus);Gram Stain (Peritoneal Fluid);ZN Stain (Peritoneal Fluid);Colour;Liquification time;Gram Stain (CSF);Motility;Parasite;pH (Semen);RBC (Semen);Result;Total Count;Viscoscity;Volume (Semen);ZN Stain (Urine);Montoux Test (Test);Scrapping for Fungus (Test);APTT (Control) (Blood);Color (Semen);Pus Cells (Semen);Motility (Semen);AFB Stain (Blood);Gram Stain (Body Fluid);Gram Stain (Urine);ZN Stain (Stool);ZN Stain (Sputum);ZN Stain (Body Fluid);ZN Stain (Pus);ZN Stain (Slit Skin);Gram Stain (Pleural Fluid);Gram Stain (Tissue);ZN Stain (Tissue);Hanging Drop (Stool);CSF India ink;Pus Cell (BAL);Red Blood Cell (BAL);Epithelial Cell (BAL);Parasite (BAL);ZN Stain (BAL);Gram Stain (BAL);Cytology (BAL);AFB Culture (BAL);Routine Microbiology Culture (BAL);Pus Cell (GAL);Red Blood Cell (GAL);Epithelial Cell (GAL);Parasite (GAL);ZN Stain (GAL);Gram Stain (GAL);AFB Culture (GAL);Cytology (GAL);Routine Microbiology Culture (GAL);AFB Stain (Pus);Rifampicin resistance (Pus);AFB Stain (Pericardial Fluid);AFB Stain (Slit Skin);Rifampicin resistance (Sputum);Gram Stain (Pericardial Fluid);AFB Stain (CSF);AFB Stain (Sputum);Gram Stain (Semen);Gram Stain (Stool);Smear Test (Slit Skin);Gram Stain (Sputum);Rifampicin resistance (Slit Skin);M. Leprae (Slit Skin);Gram Stain (Pus);Gram Stain (Blood);AFB Stain (Pleural Fluid);Gram Stain (Slit Skin);Granulocyte Count (CSF);Liquification time (Semen);Viscosity;AFB Stain (Urine);Agranulocyte Count (CSF);TB-IgM/IgG;AFB Stain (Semen);Borderline Tuberculoid;AFB Stain (Stool),,,,,,,,,,,,,,,,,,,,,
c93c3c93-bd33-47d9-bedd-eff488491aa5,,Stool Department,,Stool,Department,N/A,,pH (Stool);Reducing substance;Fat (Semi Quantitative);Coccidians;Color (w/o concentration);Fat Droplets (w/o concentration);Food Particles (w/o concentration);Others (Stool w/o concentration);Ova/Parasite/Cyst;Pus Cells (Stool);Quality;Colour (Stool);Color (with concentration);Fat Droplets (with concentration);Food Particles (with concentration);Others (Stool with concentration);Stool occult blood;Consistency;Blood (Stool);Mucus;Pus (Stool);RBC (Stool);Yeast Cells (Stool);Fat Droplets;Protozol parasite/Ova/Cyst/Trophozoites;Stool Reducing Substance Test;Occult Blood Test,,,,,,,,,,,,,,,,,,,,,
c959a933-db78-43d8-9049-6cb2af1f4fe9,,Microbiology Department,,Microbiology,Department,N/A,,Culture (Asitic Fluid);Culture (CSF);Culture (Knee Joint Fluid);Culture (Plural Fluid);Culture (Body Fluid) (Pus);Culture (Peritoneal Fluid);Culture (Sputum);Routine Microbiology Culture (Stool);Culture (Tissue);Culture (Blood);Culture (Semen);Routine Microbiology Culture (Urine);Culture (Pus),,,,,,,,,,,,,,,,,,,,,
3c89e9aa-6592-4487-b32a-60869bd4a1f1,,Histo Pathology Department,,Histo Pathology,Department,N/A,,Cytology (Asitic Fluid);Cytology (CSF);Cytology (Knee Joint Fluid);Cytology (Plural Fluid);Cytology (Pus);Cytology (Peritoneal Fluid),,,,,,,,,,,,,,,,,,,,,
422a0872-2455-49cc-a972-74f3b5fe2057,,Serology Department,,Serology,Department,N/A,,AFP;Cross Match;HbsAg ELISA;HbsAg Rapid;HCV ELISA;HCV Tridot;HIV ELISA (Blood);HIV Tridot;Malaria Parasite;VDRL ELISA;VDRL Rapid;Anti Streptolysin Qualitative;Anti Streptolysin Turbidometry;RA Factor - Qualitative;RA Factor - Turbidometry;Troponin - T;WIDAL Qualitative;Hepatitis A (Rapid);Hepatitis A (Elisa);Hepatitis E (Rapid);Hepatitis E (Elisa);Dengue (Rapid);Dengue (Elisa);HIV ELISA (Serum);RPR qualitative,,,,,,,,,,,,,,,,,,,,,
e6b85bb8-0c6e-4a8c-b593-a9ed0145c0d5,,Vaginal Department,,Vaginal,Department,N/A,,Gram Stain (Vaginal);LE (Vaginal);Microscopy of KOH mount;Microscopy of Saline mount;pH (Vaginal);Whiff test,,,,,,,,,,,,,,,,,,,,,
dbdb223a-4e14-11e4-8a57-0800271c1b75,,Bacteremia (not septicemia),,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dbeac028-4e14-11e4-8a57-0800271c1b75,,"Chickenpox, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dbf42f7b-4e14-11e4-8a57-0800271c1b75,,Condyloma acuminata,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dbfd840c-4e14-11e4-8a57-0800271c1b75,,"Dermatomycosis, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc0e12e5-4e14-11e4-8a57-0800271c1b75,,"Exanthems, viral, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc137a97-4e14-11e4-8a57-0800271c1b75,,Giardiasis,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc1542ec-4e14-11e4-8a57-0800271c1b75,,"Gonorrhea, acute, lower GU tract",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc17c8da-4e14-11e4-8a57-0800271c1b75,,"Hepatitis, viral, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc1a0af8-4e14-11e4-8a57-0800271c1b75,,"Herpes zoster, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc1ca506-4e14-11e4-8a57-0800271c1b75,,"Herpetic disease, uncomplicated",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc20b80b-4e14-11e4-8a57-0800271c1b75,,HIV disease,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc22f39a-4e14-11e4-8a57-0800271c1b75,,"HIV positive, asymptomatic",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc259dd6-4e14-11e4-8a57-0800271c1b75,,Infectious mononucleosis,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc28e4c4-4e14-11e4-8a57-0800271c1b75,,"Intestinal protozoa, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc5be9ad-4e14-11e4-8a57-0800271c1b75,,Lyme disease,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc5e310f-4e14-11e4-8a57-0800271c1b75,,"Moniliasis, skin/nails",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc5ff97f-4e14-11e4-8a57-0800271c1b75,,"Moniliasis, vulva/vagina",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc61faf6-4e14-11e4-8a57-0800271c1b75,,"Pediculosis, head",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc65ef6f-4e14-11e4-8a57-0800271c1b75,,"Pediculosis, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc685b50-4e14-11e4-8a57-0800271c1b75,,Pinworms,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc6bf34b-4e14-11e4-8a57-0800271c1b75,,Salmonella gastroenteritis,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc6f43e9-4e14-11e4-8a57-0800271c1b75,,Scabies,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc7110f7-4e14-11e4-8a57-0800271c1b75,,Sepsis,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc7dbde7-4e14-11e4-8a57-0800271c1b75,,"Septicemia, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc7f828e-4e14-11e4-8a57-0800271c1b75,,Staphylococcal food poisoning,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc81d89f-4e14-11e4-8a57-0800271c1b75,,"Syphilis, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc850607-4e14-11e4-8a57-0800271c1b75,,"Trichomoniasis, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc86f3c2-4e14-11e4-8a57-0800271c1b75,,"Tuberculosis, pulmonary, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dc8b2f7a-4e14-11e4-8a57-0800271c1b75,,"Venereal disease, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dcc72ff2-4e14-11e4-8a57-0800271c1b75,,"Viral infection, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dccca693-4e14-11e4-8a57-0800271c1b75,,"Warts, condyloma",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dcd04e6a-4e14-11e4-8a57-0800271c1b75,,"Warts, viral, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dcd3d54c-4e14-11e4-8a57-0800271c1b75,,"Skin, uncertain behavior",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd1347e2-4e14-11e4-8a57-0800271c1b75,,"Benign lesion, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd17806e-4e14-11e4-8a57-0800271c1b75,,"Lipoma, any site",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd1ddc9f-4e14-11e4-8a57-0800271c1b75,,"Neoplasm, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd21b6d6-4e14-11e4-8a57-0800271c1b75,,"Skin, soft tissue neoplasm, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd2848f9-4e14-11e4-8a57-0800271c1b75,,"Skin, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd2ba2ef-4e14-11e4-8a57-0800271c1b75,,"Bladder, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd2e01ef-4e14-11e4-8a57-0800271c1b75,,"Breast, female, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd34648e-4e14-11e4-8a57-0800271c1b75,,Cervix uteri (CIS),,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd3913a5-4e14-11e4-8a57-0800271c1b75,,"Female genital, unspec., CIS excluded",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
dd70b807-4e14-11e4-8a57-0800271c1b75,,"Gastrointestinal tract, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddafc553-4e14-11e4-8a57-0800271c1b75,,"Leukemia, unspec., w/o remission",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddb36316-4e14-11e4-8a57-0800271c1b75,,"Lung, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddb8891e-4e14-11e4-8a57-0800271c1b75,,"Male genital, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddbc1654-4e14-11e4-8a57-0800271c1b75,,"Malignant lesion, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddbe0d46-4e14-11e4-8a57-0800271c1b75,,Prostate,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddc1b795-4e14-11e4-8a57-0800271c1b75,,"Respiratory tract, NOS",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddc54fb3-4e14-11e4-8a57-0800271c1b75,,"Urinary, unspec.",,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
ddfcf23a-4e14-11e4-8a57-0800271c1b75,,B12 deficiency w/o anemia,,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,
